no,title,rating,genre,date_published,duration
189,Wild Strawberries,8.1,Drama,1959-06-22,91
190,Barry Lyndon,8.1,Adventure,1975-12-18,185
191,In the Name of the Father,8.1,Biography,1994-02-25,133
192,The Deer Hunter,8.1,Drama,1979-02-23,183
193,Hacksaw Ridge,8.1,Biography,2016-11-04,139
194,The Third Man,8.1,Film-Noir,1949-09-03,93
195,The Wages of Fear,8.1,Adventure,1955-02-16,131
196,Memories of Murder,8.1,Crime,2003-05-02,132
198,Wild Tales,8.1,Comedy,2014-08-21,122
199,Mr. Smith Goes to Washington,8.1,Comedy,1939-10-19,129
201,Mary and Max,8.1,Animation,2010-03-12,92
202,Dead Poets Society,8.1,Comedy,1989-06-09,128
203,How to Train Your Dragon,8.1,Animation,2010-03-26,98
204,"Monsters, Inc.",8.1,Animation,2001-11-02,92
205,The Seventh Seal,8.1,Drama,1958-10-13,96
206,Jaws,8.1,Adventure,1975-06-20,124
207,Room,8.1,Drama,2016-01-22,118
208,The Big Lebowski,8.1,Comedy,1998-03-06,117
209,Tokyo Story,8.1,Drama,1972-03-13,136
210,Ford v Ferrari,8.1,Action,2019-11-15,152
211,The Passion of Joan of Arc,8.0,Biography,1928-10-25,114
212,Hotel Rwanda,8.0,Biography,2005-02-04,121
214,Ratatouille,8.0,Animation,2007-06-27,111
216,Spotlight,8.0,Biography,2015-11-20,129
217,Logan,8.0,Action,2017-03-03,137
218,The Terminator,8.0,Action,1984-10-26,107
219,Jai Bhim,8.0,Crime,2021-11-02,164
220,Rush,8.0,Action,2013-09-27,123
221,Stand by Me,8.0,Adventure,1986-08-22,89
222,Before Sunset,8.0,Drama,2004-07-30,80
223,Network,8.0,Drama,1976-11-27,121
224,Into the Wild,8.0,Adventure,2007-10-19,148
225,The Wizard of Oz,8.0,Adventure,1939-08-25,102
226,The Best Years of Our Lives,8.0,Drama,1947-05-29,170
227,The Exorcist,8.0,Horror,1973-12-26,122
228,La haine,8.0,Crime,1996-02-23,98
229,The Incredibles,8.0,Animation,2004-11-05,115
230,Groundhog Day,8.0,Comedy,1993-02-12,101
231,To Be or Not to Be,8.0,Comedy,1942-03-06,99
232,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,Action,2003-07-09,143
233,The Battle of Algiers,8.0,Drama,1967-09-20,121
234,The Grapes of Wrath,8.0,Drama,1940-03-15,129
235,My Father and My Son,8.0,Drama,2005-11-18,112
236,Hachi: A Dog's Tale,8.0,Biography,2010-03-12,93
237,Pather Panchali,8.0,Drama,1955-08-26,125
238,The Handmaiden,8.0,Drama,2016-06-01,145
239,Amores Perros,8.0,Drama,2001-04-13,154
240,Rebecca,8.0,Drama,1940-04-12,130
241,Cool Hand Luke,8.0,Crime,1967-11-01,127
242,The Sound of Music,8.0,Biography,1965-04-01,172
243,It Happened One Night,8.0,Comedy,1934-02-22,105
244,The 400 Blows,8.0,Crime,1959-11-16,99
245,Persona,8.0,Drama,1967-03-16,83
246,Life of Brian,8.0,Comedy,1979-08-17,94
247,The Help,8.0,Drama,2011-08-10,146
248,The Iron Giant,8.0,Animation,1999-08-06,86
249,Aladdin,8.0,Animation,1992-11-25,90
250,Drishyam,8.0,Crime,2015-07-31,163
